"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0006364","rRNA processing",94,-0.480790769706864,-2.09110386150625,4.91877244927949e-07,8.9872999466121e-05,8.008106724441e-05,1765,"tags=57%, list=33%, signal=39%","80135/22803/51077/27043/65095/51602/10528/88745/8602/23160/57050/55003/5036/8780/153443/25879/27340/79066/55226/23560/23076/11103/79954/84549/51504/5591/57602/9277/4931/9221/55636/57647/10412/55661/51441/9775/55646/161424/8850/25926/51575/9790/10199/10885/23481/57109/11137/55720/29997/5394/25983/54680/2091/117246"
"GO:0022618","protein-RNA complex assembly",114,-0.457541344184309,-2.02113509682655,5.58278284890738e-07,9.73688081420801e-05,8.67601851351731e-05,1695,"tags=52%, list=31%, signal=36%","8683/6430/7375/26523/23451/11325/11168/23195/96764/27339/9879/6635/6632/6433/11338/10291/192669/1660/10772/1653/1939/4686/8662/5591/3326/8667/23450/4931/10594/26121/6733/26834/8665/6629/6634/51386/8664/10856/22889/24148/27335/9733/23020/25804/56949/79753/91746/26832/22907/8562/8607/29997/472/8161/22827/26831/84811/6633/54680"
"GO:0009615","response to virus",210,0.434843191599696,1.91540073140286,6.71950092676124e-07,0.00011209880459123,9.98853043941442e-05,993,"tags=32%, list=18%, signal=27%","115362/2633/10410/3437/2634/6772/3433/10622/9447/1191/3429/83666/9636/5359/3315/3659/9111/2635/51257/8519/6773/4938/23765/5371/3717/4343/80212/11213/91543/151636/1432/10875/602/4940/10581/91351/10561/10625/7706/4939/51251/6352/5611/7292/60509/200315/3459/84166/10577/3665/3434/834/10346/6737/7040/91607/22978/3428/5610/197259/3091/57724/10955/55601/8673/10964/8815"
"GO:0050729","positive regulation of inflammatory response",64,0.585945241637822,2.12063961134536,7.19034694441722e-07,0.00011495567177387,0.00010243090734854,781,"tags=42%, list=14%, signal=37%","4317/115362/2633/6279/2634/6280/6283/9447/3430/9111/58484/837/2635/3133/3572/351/23765/836/120892/11315/25921/7292/79792/7099/834/7040/1326"
"GO:0071826","protein-RNA complex organization",119,-0.443050487777975,-1.98315291404474,1.20482836951363e-06,0.000184917058152953,0.000164769791333907,1695,"tags=50%, list=31%, signal=35%","8683/6430/7415/7375/26523/23451/11325/11168/23195/96764/27339/9879/6635/6632/6433/11338/10291/192669/1660/10772/1653/1939/4686/8662/5591/3326/8667/23450/4931/10594/26121/6733/26834/8665/6629/6634/51386/8664/10856/22889/24148/27335/9733/23020/25804/56949/79753/91746/26832/22907/8562/8607/29997/472/8161/22827/26831/84811/6633/54680"
"GO:0050851","antigen receptor-mediated signaling pathway",122,-0.433099437966831,-1.95579903128449,1.42047832602248e-06,0.000209629820651857,0.000186790024409758,563,"tags=29%, list=10%, signal=26%","27086/3958/25/23228/6885/3119/4790/8893/1540/84433/7430/55024/3507/28639/10892/919/23149/5583/868/8631/3932/9840/7535/3702/115352/933/9214/28638/5335/29760/931/640/3495/28755/916"
"GO:0045619","regulation of lymphocyte differentiation",108,-0.454384606850205,-2.01767033047161,1.49084112323323e-06,0.000211865088512811,0.000188781753148598,717,"tags=29%, list=13%, signal=25%","6647/3122/10524/3398/30009/114548/25/1540/6602/84433/4976/7001/678/3662/399/22806/10892/10193/3707/9840/2309/3956/7535/10125/6935/914/115352/25793/6932/51176/3575"
"GO:0006397","mRNA processing",306,-0.327979867737882,-1.68760137626599,2.51015025837423e-06,0.000343980233620783,0.000306502557864643,1964,"tags=51%, list=36%, signal=34%","10929/11051/55147/10907/55082/5976/9406/25949/10180/9295/4116/10921/220988/10236/5566/9416/10421/8732/79811/51341/8106/9343/8899/11129/54888/22803/9785/22794/708/10992/51503/5725/1659/11044/55677/8683/6430/7375/54890/4670/23759/23451/9967/1655/5411/25962/11325/11168/96764/23524/65110/8731/27339/10284/9879/6635/1665/55131/23248/22927/51574/6632/6433/984/51593/23398/11338/3312/51692/10291/8563/8882/79066/63935/23283/55339/10250/170506/29890/1660/3192/57680/51428/10772/1653/84991/9410/23076/87178/255967/3550/6651/4686/4691/3191/11052/3297/10949/84081/23450/55544/58517/10594/6626/285672/26121/79171/51585/3178/3187/57805/85437/6733/26834/3609/64783/6629/6634/84950/9775/123169/22889/5978/57794/221092/3958/1025/84148/24148/9733/57721/55119/83448/23020/143884/79872/25804/56949/79753/10492/22916/79869/91746/26832/104/1153/51759/10212/8161/5394/22827/26831/84811/6633/58509/116461"
"GO:0034341","response to type II interferon",69,0.548025872283106,2.00976820325678,3.06336546286371e-06,0.000405314940724416,0.000361154665095511,747,"tags=32%, list=14%, signal=28%","115362/2633/115361/10410/2634/6772/83666/3659/2635/8519/2643/3717/10581/9341/6352/3459/84166/7791/2597/7099/834/6737"
"GO:0030168","platelet activation",78,0.535233071808796,2.01356473620462,3.17600211610468e-06,0.000406210670649788,0.000361952802565192,1199,"tags=54%, list=22%, signal=43%","10398/5321/6714/340205/3690/5359/3315/160851/7414/375033/5154/3572/2207/64805/3717/5592/6403/1432/2815/5291/2149/5196/22915/83706/7006/2778/5795/239/7094/5580/7099/60/1608/2923/51206/3611/5341/81027/5588/10672/4067/1192"
"GO:0008380","RNA splicing",280,-0.332529029701703,-1.69923389770273,3.67107027814949e-06,0.000454383763137406,0.000404877292476385,1974,"tags=52%, list=36%, signal=35%","11157/151987/3303/84687/10929/55147/10907/55082/5976/9406/25949/10180/9295/4116/10921/220988/10236/9416/10421/389677/51341/9343/8899/11129/51637/9785/22794/708/10992/51503/5725/1659/10474/55677/8683/6430/7375/4670/23759/23451/9967/1655/5411/9360/25962/11325/11168/96764/23524/65110/27339/10284/9879/6635/1665/55131/22927/51574/2521/6632/6433/984/23398/11338/3312/10291/8563/8882/79066/54407/55578/5430/10250/29890/1660/3192/51428/10772/1653/84991/9410/23076/3550/8295/6651/1198/93624/4686/4691/3191/8148/84081/23450/55544/58517/10594/6626/285672/26121/79171/3178/3187/57805/85437/6733/26834/3609/64783/6629/6634/84950/9775/5295/22889/5978/57794/221092/3958/3276/24148/8850/9733/51493/57721/55119/23020/143884/25804/56949/79753/10492/10199/22916/91746/26832/1153/51759/79026/10212/8161/5394/22827/26831/84811/6633/58509/116461"
"GO:0051607","defense response to virus",157,0.441664994538353,1.86628164318372,4.4494713898257e-06,0.000533519428836288,0.000475390890597167,952,"tags=31%, list=18%, signal=26%","115362/2633/10410/3437/2634/6772/3433/10622/9447/3429/83666/9636/5359/3659/2635/51257/8519/6773/4938/5371/4343/80212/91543/151636/10875/4940/10581/91351/7706/4939/51251/5611/60509/200315/84166/3665/3434/834/10346/6737/91607/22978/3428/5610/197259/57724/10955/55601/8673"
"GO:1903131","mononuclear cell differentiation",248,-0.345364513425951,-1.72813870772455,4.64233206782148e-06,0.000539776610431243,0.000480966333533785,937,"tags=28%, list=17%, signal=24%","1050/5591/5771/7157/6598/4775/55619/596/3297/4609/6929/2874/4297/6647/55636/3122/10524/3398/359948/9734/30009/5295/1499/6775/7163/27086/114548/25/23228/84766/1540/10320/142/114836/6602/84433/4976/7001/64421/678/3662/399/472/3507/22806/10892/6095/3932/10193/3707/9840/3394/2309/3956/7535/23411/10125/6935/3702/5079/914/64919/115352/25793/29760/931/6932/51176/916/3575"
