"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000139343",-0.0658409323951972,6.15621445056551,-0.435760707596622,0.664456339047008,0.824404038972467,-6.12292879692199
"ENSG00000074755",0.0673395425883019,7.21528523463366,0.671507938872427,0.504280277328706,0.712557235176549,-6.12316321594611
"ENSG00000138801",0.0247228023023975,5.95450599942168,0.167107441267878,0.867805101951335,0.939975500420208,-6.12340631516229
"ENSG00000160255",-0.0891522806567595,7.52432325797154,-0.73430198192834,0.46540952345157,0.684848306183328,-6.12356454532583
"ENSG00000224397",-0.0360234908556976,5.74502933607267,-0.201464060938969,0.840965847976852,0.925198291554501,-6.12406468018123
"ENSG00000103769",0.163401738499516,9.4102278660131,0.836794866512493,0.4057786111973,0.642654197366937,-6.12428299823601
"ENSG00000169220",0.032215317933761,5.79741812250499,0.22071985951611,0.826003475483041,0.91913131830711,-6.12431836935271
"ENSG00000145996",-0.0213555856545016,5.87673976430092,-0.146791139510698,0.883751920609474,0.947958350754167,-6.12470972946024
"ENSG00000129968",0.0278851711045407,5.9598437879162,0.218807252442396,0.827486840028103,0.919391987540852,-6.12506173419887
"ENSG00000100227",-0.0387749508003434,6.01067059326553,-0.324652641046244,0.74648813587031,0.872718318502457,-6.12531847060514
"ENSG00000015475",-0.041343557230288,6.0171631886818,-0.280070858558554,0.780313910321327,0.893286443250807,-6.12568229640023
"ENSG00000172432",-0.020097246987957,5.96756189267295,-0.112776890672775,0.910555556337883,0.956741884460711,-6.12619378044896
"ENSG00000101782",-0.150159286387364,9.18278921919962,-0.831943011320517,0.408491870523751,0.644128425647871,-6.12640440080473
"ENSG00000155975",0.0490905129156278,6.24109300012285,0.356381150446767,0.722711146257523,0.860537180532152,-6.12656257668216
"ENSG00000161217",0.0494800243264057,6.48523508413496,0.494592044132613,0.622558282541902,0.794308553463297,-6.1268035683401
"ENSG00000168961",0.0672525510076669,6.74646526776508,0.591314781442336,0.556363563000915,0.749151925662132,-6.12689225108574
"ENSG00000197312",-0.0608920525848671,6.48688452043529,-0.490425807588227,0.62548665721637,0.795877000190794,-6.12696374069112
"ENSG00000202354",-0.245771694748202,9.27118898938935,-0.833511545838477,0.407613506142409,0.643488374808417,-6.12699846535977
"ENSG00000115464",-0.0564768504899611,8.46233779536236,-0.804754273070912,0.423899851585052,0.65292801567299,-6.12707218139789
"ENSG00000112679",-0.065220016848679,6.35618660236214,-0.424791111641886,0.672394001596258,0.829341752478246,-6.12745253619964
"ENSG00000059377",0.020195584414199,5.9662763737202,0.126637502783493,0.899618842768622,0.953711511072865,-6.12749637334881
"ENSG00000006007",0.0376311358558672,6.02131596255164,0.23381170648471,0.815867133802888,0.913449269411865,-6.1279488878055
"ENSG00000134452",-0.0279075271266702,5.90259976731833,-0.213923475114616,0.831277407059259,0.919802505633456,-6.1280253563663
"ENSG00000196730",0.0296407718269984,5.75016613368788,0.163210626237003,0.870859766063767,0.941335476988607,-6.12836712227822
"ENSG00000179115",0.00725417611134738,5.8238264595962,0.060183454841645,0.952194468230728,0.976940765145199,-6.12843453622425
"ENSG00000123146",0.0762868670206478,6.32880784540562,0.443390419309185,0.658957986260728,0.819074403182396,-6.12859643414256
"ENSG00000138411",-0.0556003403682483,5.91688511112691,-0.26693429033477,0.79036613049057,0.899112753382378,-6.12894797278886
"ENSG00000112658",0.056880029249065,6.38705465103481,0.475612371353641,0.635947568255486,0.802372012935593,-6.12962128246197
"ENSG00000104219",0.0377596509234968,5.98504881415803,0.245287894187369,0.80700750879875,0.908196014859655,-6.13056857621565
"ENSG00000213064",0.00487156984687154,5.79510638752285,0.0378803796604853,0.969899337684571,0.985120717095905,-6.13089654781115
"ENSG00000160948",0.0205293463403642,5.94193469561798,0.129668038997949,0.897230119920705,0.953342411075937,-6.13154761915387
"ENSG00000164329",-0.0593368652050552,6.73925973332685,-0.549721565163011,0.584397211069876,0.771642269973021,-6.13237888021489
"ENSG00000180530",0.180616863663877,8.91393680064087,0.815125855229929,0.417981598020198,0.649134477198985,-6.13246339839126
"ENSG00000125633",0.0263058453098353,5.8755387730296,0.207637310599583,0.836162349289951,0.922521765680773,-6.13265200524545
"ENSG00000138594",0.0849267807057394,8.06002193834492,0.757949433866065,0.451224783182722,0.675216733174229,-6.13266966888261
"ENSG00000185591",0.0642163006253202,7.84736450208973,0.753546518407096,0.453846721989623,0.676671303064987,-6.13277318917228
"ENSG00000160058",0.051022017635086,6.21917784390792,0.3194612425101,0.750402846540411,0.876354706956519,-6.13297939463462
"ENSG00000138190",-0.00224972969756809,5.91007493936457,-0.0182464187511729,0.985498252147712,0.991659598847406,-6.13300357746875
"ENSG00000054611",-0.0550873530357192,6.29865944934268,-0.403813345219691,0.687677505360229,0.839074367122627,-6.13370410626026
"ENSG00000155657",-0.0338787606715618,5.75943180567759,-0.13477109877137,0.893209960997075,0.952391067337721,-6.13385778839597
"ENSG00000155465",-0.00836137760005151,5.76312987273548,-0.0489274611162631,0.961127368073116,0.980933289858062,-6.13386942443711
"ENSG00000064666",-0.0803264424243224,8.81509844195912,-0.815387493016919,0.417832948449178,0.649088652167413,-6.13420691574739
"ENSG00000117758",0.0127583463826468,5.85306514597832,0.088790258267766,0.929522028455552,0.965129790551905,-6.13435641860918
"ENSG00000160714",0.0540058463560591,7.00337772572641,0.6051038101342,0.547220094192559,0.744383289178792,-6.13451494018483
"ENSG00000143379",-0.0180249397321246,5.80566715080661,-0.143895351768857,0.886028992129536,0.948772694220852,-6.13497236428331
"ENSG00000185359",0.0354057978056277,5.98484955755553,0.2820279537117,0.778819488615036,0.892239806457612,-6.13573500214203
"ENSG00000167863",0.069259816235923,6.59569999077268,0.518311374924597,0.606003689355766,0.78383383181629,-6.13664133079209
"ENSG00000083520",-0.0301461042669926,5.96180242688412,-0.256023230415554,0.798742670375841,0.902960027862395,-6.13676996716916
"ENSG00000096070",-0.0117003236787152,5.79419855233916,-0.0889086491608615,0.929428305718967,0.965129790551905,-6.1374971272725
"ENSG00000157020",-0.0436912388109389,6.09864039954233,-0.35119040648562,0.726583054453038,0.862310282833286,-6.13824562528307
"ENSG00000113328",-0.0392323845031477,6.17647706382157,-0.308720807760742,0.75852275835729,0.881115562373244,-6.13887219203419
"ENSG00000105397",0.0176895595619664,5.84702746441563,0.132837336929497,0.894733042102042,0.952796249681768,-6.13935529193182
"ENSG00000164164",-0.0426905228600933,6.0537903985129,-0.320457230440892,0.749651282001896,0.875664705048527,-6.13952705614294
"ENSG00000145391",-0.0581665890050198,6.26697038936472,-0.434516394745898,0.665354818465366,0.824955177742219,-6.13956453636871
"ENSG00000132463",-0.0328993345001782,6.00410040029244,-0.262574661656107,0.793710153427415,0.900295376442128,-6.13975954238948
"ENSG00000108100",0.0872979283832578,8.11178899083874,0.753612058240018,0.453807628617663,0.676671303064987,-6.13981620823856
"ENSG00000086666",0.0898468715851886,7.72946073893606,0.709458337696254,0.480581241817874,0.697258749779967,-6.13987696168194
"ENSG00000130638",0.0313682927055607,6.02756668301054,0.183449612507819,0.855017188754144,0.932254115674849,-6.13990000435253
"ENSG00000113269",0.0310140556356657,6.08077636024263,0.257046280482945,0.797956239179693,0.902858897414532,-6.14002195760006
"ENSG00000179918",-0.0201697169028483,5.88235162628557,-0.165375029587873,0.869162871132559,0.940269920955159,-6.14027443964148
"ENSG00000176619",0.00315739738117582,5.78602409146596,0.0180518785329992,0.985652850175973,0.991659598847406,-6.14076829773026
